link,views,unique_sessions,unique_users,total_time_sec,avg_time_sec,median_time_sec,p90_time_sec
https://travel.com.vn/du-lich-lao.aspx,4,4,4,791.777,197.94425,206.546,359.3643
https://travel.com.vn/du-lich-trung-quoc.aspx?fromDate=2026-01-05&departureFrom=1,4,4,4,2317.391,579.34775,570.746,983.0501
https://travel.com.vn/chuong-trinh/trung-quoc-bac-kinh-chinh-phuc-van-ly-truong-thanh-to-chau-vo-tich-hang-chau-thuong-hai-pid-12858,4,4,4,2318.983,579.74575,557.914,802.1518
https://travel.com.vn/du-lich-tiet-kiem.aspx,4,3,3,2257.912,564.478,465.29999999999995,998.7056
https://travel.com.vn/chuong-trinh/thai-lan-bangkok-pattaya-khach-san-5-sao-lang-nong-nooch-cho-noi-bon-mien-check-in-tai-the-kliff-beach-club-pattaya-tang-ve-colosseum-show-trai-nghiem-am-thuc-michelin-pid-13351,4,4,4,375.04,93.76,99.11399999999999,165.8034
https://travel.com.vn/du-lich-nga.aspx,4,4,4,1966.017,491.50425,468.079,964.3998
https://travel.com.vn/chuong-trinh/sapa-fansipan-ha-noi-yen-tu-ha-long-ninh-binh-trang-an-bai-dinh-tang-ve-tau-hoa-leo-nui-muong-hoa-pid-4681,4,4,4,290.292,72.573,73.3275,112.4019
https://travel.com.vn/du-lich-nuoc-ngoai/tour-new-zealand.aspx,3,3,3,252.36599999999999,84.122,63.01,161.7628
https://travel.com.vn/tin-tuc-du-lich,3,2,2,1150.544,383.5146666666667,80.381,842.5762
https://travel.com.vn/chuong-trinh/trung-quoc-duong-bay-bac-kinh-to-chau-hang-chau-thuong-hai-2-dem-thuong-hai-pid-13872,3,2,2,1272.7630000000001,424.25433333333336,205.565,863.6410000000001
https://travel.com.vn/du-lich-uc.aspx,3,3,3,280.19599999999997,93.39866666666666,133.064,139.9536
https://travel.com.vn/du-lich-tieu-chuan.aspx,3,2,2,1018.55,339.51666666666665,15.482,805.5500000000001
https://travel.com.vn/tags/world-cup-2026,3,3,3,1289.3120000000001,429.7706666666667,201.659,883.2990000000001
https://travel.com.vn/chuong-trinh/nha-trang-chua-long-son-bien-nhu-tien-vinwonder-lang-gom-bau-truc-kham-pha-cao-toc-moi-khach-san-4-sao-pid-9810,3,2,2,658.61,219.53666666666666,210.733,339.4682
https://travel.com.vn/du-lich-thai-lan.aspx?fromDate=2026-01-15&departureFrom=1,3,2,2,308.216,102.73866666666667,18.288,235.57920000000001
https://travel.com.vn/tags/world-cup-2026?utm_source=PR&utm_medium=social&utm_campaign=FIFA2026,3,2,2,453.227,151.07566666666665,200.687,242.1686
https://travel.com.vn/du-lich-duc.aspx,3,3,3,1187.715,395.905,377.211,677.6238
https://travel.com.vn/du-lich-tay-ban-nha.aspx,3,2,2,906.531,302.17699999999996,283.474,400.4828
